Time Series Search Export,Search term,Search filters,,Last update of Central bank total assets data,Downloaded at,Source,Source URL,Download URL,About Central bank total assets
,,TOPIC:Topic,CBTA:Central bank statistics / Central bank total assets,2024-08-20,2024-11-17 07:59 CET,BIS,https://data.bis.org/topics/CBTA/data?filter=TIMESPAN%3D2023-11-17_2024-11-17,https://data.bis.org/topics/CBTA/data?filter=TIMESPAN%3D2023-11-17_2024-11-17&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/CBTA
,,TIMESPAN:Timespan,2023-11-17_2024-11-17:,,,,,,

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,COMP_METHOD:Compilation methodology,UNIT_MEASURE:Unit of measure,CURRENCY:Currency,TRANSFORMATION:Transformation,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_CBTA,1.0",M.AE.B.USD._Z.B,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,2023-12-31,F:Free (free for publication),,A:Normal value,196.26984343091
"BIS,WS_CBTA,1.0",M.AE.B.USD._Z.B,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,2024-01-31,F:Free (free for publication),,A:Normal value,200.02995234854
"BIS,WS_CBTA,1.0",M.AE.B.USD._Z.B,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,2024-02-29,F:Free (free for publication),,A:Normal value,203.57249829816
"BIS,WS_CBTA,1.0",M.AE.B.USD._Z.B,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,2024-03-31,F:Free (free for publication),,A:Normal value,210.00100040844
"BIS,WS_CBTA,1.0",M.AE.B.USD._Z.B,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,2024-04-30,F:Free (free for publication),,A:Normal value,215.06263716814
"BIS,WS_CBTA,1.0",M.AE.B.XDC.AED.B,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),AED:United Arab Emirates dirham,B:Adjusted for breaks,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2023-12-31,F:Free (free for publication),,A:Normal value,720.801
"BIS,WS_CBTA,1.0",M.AE.B.XDC.AED.B,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),AED:United Arab Emirates dirham,B:Adjusted for breaks,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-01-31,F:Free (free for publication),,A:Normal value,734.61
"BIS,WS_CBTA,1.0",M.AE.B.XDC.AED.B,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),AED:United Arab Emirates dirham,B:Adjusted for breaks,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-02-29,F:Free (free for publication),,A:Normal value,747.62
"BIS,WS_CBTA,1.0",M.AE.B.XDC.AED.B,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),AED:United Arab Emirates dirham,B:Adjusted for breaks,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-03-31,F:Free (free for publication),,A:Normal value,771.228674
"BIS,WS_CBTA,1.0",M.AE.B.XDC.AED.B,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),AED:United Arab Emirates dirham,B:Adjusted for breaks,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-04-30,F:Free (free for publication),,A:Normal value,789.817535
"BIS,WS_CBTA,1.0",M.AE.B.XDC.AED.N,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),AED:United Arab Emirates dirham,N:Non transformed data,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2023-12-31,F:Free (free for publication),,A:Normal value,720.801
"BIS,WS_CBTA,1.0",M.AE.B.XDC.AED.N,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),AED:United Arab Emirates dirham,N:Non transformed data,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-01-31,F:Free (free for publication),,A:Normal value,734.61
"BIS,WS_CBTA,1.0",M.AE.B.XDC.AED.N,M:Monthly,AE:United Arab Emirates,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),AED:United Arab Emirates dirham,N:Non transformed data,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-02-29,F:Free (free for publication),,A:Normal value,747.62
