DATE,MORTGAGE30US
2023-11-16,7.44
2023-11-22,7.29
2023-11-30,7.22
2023-12-07,7.03
2023-12-14,6.95
2023-12-21,6.67
2023-12-28,6.61
2024-01-04,6.62
2024-01-11,6.66
2024-01-18,6.6
2024-01-25,6.69
2024-02-01,6.63
2024-02-08,6.64
2024-02-15,6.77
2024-02-22,6.9
2024-02-29,6.94
2024-03-07,6.88
2024-03-14,6.74
2024-03-21,6.87
2024-03-28,6.79
2024-04-04,6.82
2024-04-11,6.88
2024-04-18,7.1
2024-04-25,7.17
2024-05-02,7.22
2024-05-09,7.09
2024-05-16,7.02
2024-05-23,6.94
2024-05-30,7.03
2024-06-06,6.99
2024-06-13,6.95
2024-06-20,6.87
2024-06-27,6.86
2024-07-03,6.95
2024-07-11,6.89
2024-07-18,6.77
2024-07-25,6.78
2024-08-01,6.73
2024-08-08,6.47
2024-08-15,6.49
2024-08-22,6.46
2024-08-29,6.35
2024-09-05,6.35
2024-09-12,6.2
2024-09-19,6.09
2024-09-26,6.08
2024-10-03,6.12
2024-10-10,6.32
2024-10-17,6.44
2024-10-24,6.54
2024-10-31,6.72
2024-11-07,6.79
2024-11-14,6.78
